parc,type,modele,immat,km,tauxsante,statut,annee,boite,moteur,portes,girouette,clim,pmr,ct
384,TCP - Autobus Standard,HEULIEZ GX 327,DB-532-PV,0,100,Actif,2013,Automatique,Diesel,2,Oui,Non,Oui,
386,TCP - Autobus Standard,HEULIEZ GX 327,DB-593-PT,0,100,Actif,2013,Automatique,Diesel,2,Oui,Non,Oui,
423,TCP - Autobus articulé,MERCEDES CITARO A,CC 062 BJ,0,100,Actif,2007,Automatique,Diesel,3,Oui,Oui,Oui,
424,TCP - Autobus articulé,MAN LION'S CITY A,CT 441 GZ,0,100,Actif,2008,Automatique,Diesel,3,Oui,Oui,Oui,
425,TCP - Autobus articulé,MAN LION'S CITY A,AG-198-XY,0,100,Actif,2008,Automatique,Diesel,3,Oui,Oui,Oui,
426,TCP - Autobus articulé,MAN LION'S CITY A,AG-280-XY,750000,50,Suspendu,2008,Automatique,Diesel,3,Oui,Oui,Oui,
427,TCP - Autobus articulé,MAN LION'S CITY A,AG-379-XY,0,100,Actif,2008,Automatique,Diesel,3,Oui,Oui,Oui,
428,TCP - Autobus articulé,MAN LION'S CITY A,AD-332-CE,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
439,TCP - Autobus articulé,MAN LION'S CITY A,AD-474-CE,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
440,TCP - Autobus articulé BHNS,HEULIEZ GX 427 BHNS,BA-576-EN,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
442,TCP - Autobus articulé BHNS,HEULIEZ GX 427 BHNS,BA-670-EP,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
443,TCP - Autobus articulé BHNS,HEULIEZ GX 427 BHNS,BA-334-EQ,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
444,TCP - Autobus articulé BHNS,HEULIEZ GX 427 BHNS,BA-844-EQ,0,100,Actif,2010,Automatique,Diesel,3,Oui,Oui,Oui,
460,TCP - Autobus articulé,HEULIEZ GX 427,AB-985-SJ,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
461,TCP - Autobus articulé,HEULIEZ GX 427,AB-045-SK,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
462,TCP - Autobus articulé,HEULIEZ GX 427,AB-866-TD,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
463,TCP - Autobus articulé,HEULIEZ GX 427,AB-949-TD,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
464,TCP - Autobus articulé,HEULIEZ GX 427,AB-015-TE,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
465,TCP - Autobus articulé,HEULIEZ GX 427,AB-168-TE,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
466,TCP - Autobus articulé,HEULIEZ GX 427,AB-272-TE,0,100,Actif,2009,Automatique,Diesel,3,Oui,Oui,Oui,
520,TCP - Midibus,HEULIEZ GX 137,DM-816-KS,0,100,Actif,2014,Automatique,Diesel,2,Non,Oui,Non,
521,TCP - Midibus,HEULIEZ GX 137,DM-953-KS,0,100,Actif,2014,Automatique,Diesel,2,Non,Oui,Non,
522,TCP - Midibus,HEULIEZ GX 137,DY-850-KP,0,100,Actif,2015,Automatique,Diesel,2,Non,Oui,Non,
523,TCP - Midibus,HEULIEZ GX 137,DY-200-KQ,0,100,Actif,2015,Automatique,Diesel,2,Non,Oui,Non,
524,TCP - Midibus,HEULIEZ GX 137,DY-053-KQ,0,100,Actif,2015,Automatique,Diesel,2,Non,Oui,Non,
525,TCP - Midibus L (Heuliez),HEULIEZ GX 137 L,EY-529-ZF,0,100,Actif,2018,Automatique,Diesel,2,Non,Oui,Non,
526,TCP - Midibus L (Heuliez),HEULIEZ GX 137 L,EY-616-ZF,0,100,Actif,2018,Automatique,Diesel,2,Non,Oui,Non,
